,n,time
0,1,9.5367431640625e-07
1,2,9.5367431640625e-07
2,3,0.0
3,4,0.0
4,5,1.1920928955078125e-06
5,6,1.6689300537109375e-06
6,7,2.1457672119140625e-06
7,8,3.0994415283203125e-06
8,9,5.7220458984375e-06
