,n,time
0,1,1.1920928955078125e-06
1,2,7.152557373046875e-07
2,3,1.9073486328125e-06
3,4,1.1920928955078125e-06
4,5,9.5367431640625e-07
5,6,2.1457672119140625e-06
6,7,1.9073486328125e-06
7,8,2.86102294921875e-06
8,9,6.198883056640625e-06
