,n,time
0,1,9.5367431640625e-07
1,2,9.5367431640625e-07
2,3,0.0
3,4,0.0
4,5,9.5367431640625e-07
5,6,2.1457672119140625e-06
6,7,1.9073486328125e-06
7,8,3.814697265625e-06
8,9,5.245208740234375e-06
